,Unnamed: 0.1,Unnamed: 0,user_id,name,username,description,created_at,followers_count,following_count,following_list,following_agentid_list,previous_tweets,tweets_id,activity_level_frequency,activity_level,user_char
0,0,0,326088092,✠ raj ✠ (मैं हूं मोदी का परिवार),raj_3H,"I do it because i can, i can because i want to, i want to because you said i couldn’t ... My GYM my LIFE #BelieveInTheGame #BeTheBatman",2011-06-29 10:46:29+00:00,1445,1093,"['3229108261', '2281664328']","[123, 127]","[""@iHrithik pls wish @krazzii27 #Pinky a very happy birthday from ur side 2 :) she's 1 of ure biggest fan &amp; my true friend, it'll make her day"", 'Happy Birthday to the most beautiful, to the most amazing friend i know and ive today in this world @krazzii27 #Hugs https://t.co/6utEaA1zY5', 'Hunter the new champ yes yes yes #WWE love u @TripleH', '@EverythingHHH believe me taylor im so so so happy :) 14 times yay yay :) dear pls send me this icon of urs in large size :)', ""If next time u point finger on @iHrithik i'll break ure finger &amp; i'll shove it up in 2 ure that place where sun never shines #AssholeLunatic""]","[692219435143270400, 692219032662085632, 691665552247386112, 691663477438459904, 691321816502001664]","[2, 1, 0, 7, 96, 118, 99, 28, 13, 32, 11, 0, 15, 26, 17, 5, 13, 3, 1, 0, 0, 0, 0, 0]","['off_line', 'off_line', 'off_line', 'busy', 'active', 'active', 'active', 'busy', 'busy', 'normal', 'busy', 'off_line', 'busy', 'busy', 'busy', 'active', 'busy', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line']","✠ raj ✠ is a passionate individual who thrives on challenges and defying expectations. With a deep dedication to fitness and a love for motivational hashtags like #BelieveInTheGame and #BeTheBatman, they embody a determined and resilient spirit. Their Twitter feed is a mix of friendly birthday wishes, enthusiastic WWE fan moments, and a fierce defense of their favorite celebrities. With a substantial following and active engagement, they are a supportive and enthusiastic presence on social media."
1,1,1,979588646,Mike,Lodato_,,2012-11-30 02:29:33+00:00,285,260,"['2765062486', '26995107']","[2, 104]","['@IslamMckenzie you look like an out of touch-with-the-youth-dad in your Twitter avatar 😂', '@IslamMckenzie beautiful bastard', '@IslamMckenzie the flyest', ""@JoshuaYehl it's legit, it was tweeted out by @GalGadot"", '@Slightly1nsane a good writers day']","[690632147422572544, 690631971941269505, 690515521981251584, 689532752929103872, 688179676057964544]","[0, 2, 1, 0, 1, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 1, 5, 2, 0, 2]","['off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'active', 'off_line', 'off_line', 'off_line']","Mike, known as Lodato_ on Twitter, is a witty and engaging individual who has been active on the platform since November 2012. With a balance of humor and appreciation for others, Mike's tweets often contain playful banter and positive interactions with fellow users. He has a sizable following and actively engages with a variety of topics, showcasing his outgoing and sociable nature online."
2,2,2,2765062486,DC Comics United,DcComicsUnited,Detective Comics Comics,2014-09-08 20:44:43+00:00,44650,978,"['26995107', '183768366', '1301529636', '3229108261', '3769927519', '2259800258', '592815294', '3646911', '3231370784', '1001524393']","[104, 81, 50, 123, 45, 46, 75, 43, 21, 16]","[""New 'DC's Legends of Tomorrow' Poster! https://t.co/0MwoOIa3A4"", ""@DCComicsMovie @LaurenCohan @JimmyKimmelLive No, she didn't"", ""Ben Affleck's Batman by Garnabiuth on DeviantArt! https://t.co/RBJC86PRN7"", 'Batman &amp; Robin by Jeremy Roberts https://t.co/gl80dNwp7z', '@juanmies HA! https://t.co/qqys1UG5hz']","[692413515588591616, 692247715162492928, 692213063840301056, 692199299908833281, 692156549670813696]","[7, 8, 14, 26, 8, 9, 5, 2, 0, 1, 1, 0, 1, 1, 2, 10, 11, 13, 21, 16, 8, 18, 14, 15]","['busy', 'busy', 'busy', 'busy', 'busy', 'busy', 'active', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'busy', 'busy', 'busy', 'busy', 'busy', 'busy', 'busy', 'busy', 'busy']","DC Comics United, known as DcComicsUnited on Twitter, is a dedicated fan account that focuses on all things related to Detective Comics Comics. With a substantial following of 44,650 followers, they engage actively with the DC Comics community, sharing news, fan art, and engaging with fellow fans. Their profile suggests a passion for all things DC, especially Batman-related content. They may have a detailed knowledge of the DC Comics universe and enjoy participating in discussions surrounding the characters and stories."
3,3,3,96073765,nat ⸆⸉,shaaswift,"don’t get sad, get even",2009-12-11 06:36:26+00:00,165,141,['1301529636'],[50],"['💀💀 miss this 💀💀', 'this was my brother just last week  https://t.co/JxJpQFqpfx', 'So pretty!!!! 😍 https://t.co/wuIAONokKj', '@haqimthehipster  https://t.co/NOfD1gV2KX', '@iff4h what else would I be talking about.....sis 😳🤔😱']","[692377090486845440, 692375431018733568, 692370985132122112, 692365332007165953, 692360646625591296]","[18, 17, 13, 12, 17, 17, 27, 48, 16, 20, 27, 30, 58, 55, 92, 138, 75, 42, 20, 26, 5, 1, 5, 2]","['busy', 'busy', 'busy', 'busy', 'busy', 'busy', 'busy', 'normal', 'busy', 'busy', 'busy', 'active', 'normal', 'normal', 'active', 'active', 'normal', 'normal', 'busy', 'busy', 'active', 'off_line', 'active', 'off_line']","nat ⸆⸉, also known as shaaswift, is a resilient individual who believes in turning challenges into opportunities. With a creation date dating back to 2009, they have built a community of 165 followers while following 141 accounts. Their Twitter feed includes a mix of nostalgic reflections, appreciations of beauty, and engaging interactions with friends. Generally pragmatic and sharp-witted, nat ⸆⸉'s online presence suggests a blend of sentimentality and a no-nonsense attitude."
4,4,4,2147938057,Brendan 🦇🕷️🎥,BeansProjects,26. Movie lover. Tim Drake Stan. Hailee Steinfeld simp. Physical media enthusiast. Sometimes I cosplay. Met Hailee 7/8/23. YouTube: Project Bean Studios,2013-10-21 22:35:21+00:00,691,1466,"['26995107', '244246223', '2797529315', '20295588', '2897285323', '632173421', '3229108261', '393664969', '2281664328', '1903077054', '1167115776']","[104, 56, 19, 48, 52, 92, 123, 41, 127, 79, 108]","['How long until Cisco can get a costume on the show? Not to mention vibration gloves? #TheFlash #AfterThoughts', '@dcumoviepage If only it were true 😂', '@dcumoviepage Shhh...spoilers!!!', 'Uhhh...okay? https://t.co/xwWqTXbYrw', ""That episode was intense!! I'm hopeful to see how they handle next weeks villain #TheFlash""]","[692460851886985216, 692458613093330945, 692410467327803397, 692388165613699072, 692165312733696001]","[14, 28, 15, 6, 9, 7, 4, 0, 0, 1, 1, 1, 0, 0, 0, 1, 3, 16, 9, 5, 1, 19, 13, 4]","['busy', 'busy', 'busy', 'busy', 'busy', 'busy', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'busy', 'busy', 'active', 'off_line', 'busy', 'busy', 'off_line']","Brendan, known as BeansProjects, is a 26-year-old movie enthusiast with a passion for physical media and cosplay. A dedicated Tim Drake fan and Hailee Steinfeld admirer, Brendan met Hailee in 2023. With a YouTube channel called Project Bean Studios, Brendan enjoys engaging with DC-related content on Twitter, sharing thoughts about shows like The Flash and interacting playfully with fellow fans. With a mix of humor and enthusiasm, Brendan's Twitter activity reflects their fun and engaging personality, attracting 691 followers along the way."
5,5,5,342977025,Clark Kent,SeanByrne_,Forever Consuming | Content @ ModernMythosMedia | Growth @morninghuddleup | Movies 🍿 TV 📺 Gaming 🎮,2011-07-26 21:41:49+00:00,438,527,['26995107'],[104],[],[],"[16, 17, 21, 19, 15, 12, 11, 10, 10, 8, 9, 11, 13, 12, 16, 19, 19, 19, 21, 21, 21, 20, 19, 18]",['off_line'],"Clark Kent, also known as SeanByrne_, is a dedicated individual with a passion for consuming content across various media platforms. With connections to ModernMythosMedia and involvement in morninghuddleup, Clark is actively seeking growth and engaging with a variety of entertainment mediums like movies, TV shows, and gaming. Despite having more followers than following, Clark displays a willingness to explore and share his interests with a broad audience on Twitter since joining in 2011."
6,6,6,222073957,Chia Hua,auhaihc,Associate Producer of Zack Snyder’s Justice League | FFXIV | FF14 | #RestoreTheSnyderVerse | #ReleaseTheAyerCut,2010-12-02 11:37:11+00:00,503,733,"['3229108261', '26995107', '1001524393', '592815294', '1301529636', '3769927519']","[123, 104, 16, 75, 50, 45]","['Chris Pine Sings School Closures https://t.co/kUzal3Luhm', 'Chris Pine Talks About the ""Wonder Woman"" Movie https://t.co/2Gqh84jJL9', ""Chris Pine: What Excites Him Most About Being Part Of 'Wonder Woman'? https://t.co/p5ouoLtv6C"", '#WhoWillWin #Batman\xa0#BatmanvSuperman  @BatmanvSuperman @ZackSnyder', '@KarenFukuhara love it!']","[691919327587647488, 691919261091131394, 691878723516305408, 691468835979800577, 690012705940475904]","[0, 1, 1, 9, 6, 0, 1, 2, 0, 4, 0, 1, 1, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0]","['off_line', 'off_line', 'off_line', 'busy', 'busy', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line']","Character Description:
Chia Hua, known on social media as auhaihc, is a passionate and dedicated Associate Producer of Zack Snyder’s Justice League. With interests in Final Fantasy XIV and advocating for the #RestoreTheSnyderVerse, Chia Hua's Twitter feed is a mix of fandom content, updates on film projects, and engaging with fellow fans and actors. Despite a modest following, Chia Hua's unwavering support for their favorite projects shines through in their tweets. They exude enthusiasm, loyalty, and a strong sense of community within the entertainment industry."
7,7,7,46292816,Kimmie,Kimmiecoomd,,2009-06-11 02:31:13+00:00,421,219,"['3769927519', '592815294', '1482519301']","[45, 75, 138]","['Just took me abt 4hrs hrs to get into work. Last wk took 4hrs to get home w/1"" of snow. I\'m rethinking of relocating to Miami 😜', '@celticbabe2002 woohoo! Congrats', '@celticbabe2002 keeping fingers crossed', '@celticbabe2002 someone who me no likey. I personally was not fond of her portrayal', '@_Christine2013 RT @tariel22: Nicholas Sparks on the Secret to His Bestsellers ... https://t.co/7YEefFsS5X']","[692409344340660225, 692354268993589249, 692334509937856512, 692332074200469504, 692300865432977408]","[1, 2, 11, 1, 1, 0, 0, 0, 0, 1, 1, 3, 1, 4, 1, 5, 7, 6, 4, 1, 4, 3, 2, 2]","['off_line', 'off_line', 'busy', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'active', 'busy', 'busy', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line']","Kimmie, known as Kimmiecoomd on Twitter, is a seasoned user who has been active on the platform since June 2009. With a following of 421 and 219 accounts followed, Kimmie is engaged in social interactions online. Based on her sample tweets, she seems to be a friendly and engaging person, showing empathy and sharing personal experiences. Kimmie appears to enjoy discussing various topics, from commute struggles to congrats and discussions about portrayal in media. Overall, she comes across as sociable, expressive, and open-minded on Twitter."
8,8,8,2595167479,$=EVERYONE=$,GenerationG0ld,,2014-06-29 18:24:41+00:00,89,347,"['3646911', '1001524393']","[43, 16]","['HYPE https://t.co/wo8KPHqbnd', 'My boy over at @Elitegaming52 just made this dope banner for me please check him out. @krypto9095xbox @ https://t.co/bZ7cLvz49t', 'SUPER MARIO MAKER - RAGE PART 2 😂😂😂🍗🍗🍗 Krypt bro too Funny https://t.co/orVYVtkZFg', '@AngryJoeShow @BatmanvSuperman The little S on sups belt thingy', '@ZackSnyder #Superman From joker HaHaHahaaaaa']","[692470043045675010, 692049908115849217, 691724009721970688, 691375688130154497, 691336980743979009]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 3, 1, 3, 1, 3, 1, 0]","['off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line']","Character Description:
$=EVERYONE=$, known on Twitter as GenerationG0ld, is a long-time user since creating the account in 2014. With a moderate following, they are active in sharing a mix of gaming-related content, appreciating fan art, and engaging in discussions around popular movies like Batman v Superman. Their tweets show enthusiasm, humor, and a friendly demeanor, with a hint of competitiveness seen in posts about gaming and banners. Overall, $=EVERYONE=$ appears to be a social media user who enjoys connecting with others in their interests."
9,9,9,191940361,#MexicoMereceMas,MissLulusita,,2010-09-17 19:18:05+00:00,2010,1865,"['3229108261', '183768366', '1332881322', '26995107', '20295588', '2765062486', '2259800258', '83354357', '4747574007', '3297043269', '1558077944', '2267599075', '3769927519', '2453827780', '3296684255', '2982787581', '3646911', '46292816', '2853621940', '2281664328', '2472522037', '1001524393', '592815294']","[123, 81, 73, 104, 48, 2, 46, 87, 86, 129, 74, 54, 45, 47, 28, 26, 43, 7, 115, 127, 91, 16, 75]","['Henry Cavill is teaming up with Durrell Wildlife Park for charity event https://t.co/a27dfq1LBF', '@minitoastR Lol!     #VisualMaximusYT so funny! https://t.co/YwOx6CrLEc', '@Stella_Broster Hello Stella, thanks!  have a nice day too!', 'Y si hay ganancias en Proyecto Tajamar, también las repartirán entre los contribuyentes? https://t.co/rq4FDNcimu', 'Lástima!, como no son funcionarios de Gobierno no hay recursos para promover la cultura de nuestro estado...  https://t.co/j9Ncy9Ld6G']","[692432612116283393, 692427442540146688, 692422516707594240, 692421682309500928, 692418921777885184]","[32, 23, 15, 14, 17, 22, 7, 3, 0, 0, 0, 0, 0, 10, 27, 40, 29, 32, 28, 24, 31, 3, 7, 18]","['normal', 'busy', 'busy', 'busy', 'busy', 'busy', 'busy', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'busy', 'busy', 'normal', 'busy', 'normal', 'busy', 'busy', 'normal', 'off_line', 'busy', 'busy']","#MexicoMereceMas, known as MissLulusita on Twitter, is a passionate and generous individual with a strong interest in charity work and wildlife conservation, as reflected in their tweets supporting causes and interacting humorously with others. They have a substantial following and are actively engaged with their followers and the community. With a balance of wit and sincerity, MissLulusita contributes positively to the online conversation, embodying a kind-hearted and socially conscious persona."
